,Region XII,Region VI,Region II,ARMM,Region IV-A,Region I,Region XI,Region IX,Region III,NCR,Region XIII,Region VII,Region VIII,Region X,CAR
1,1.3736856126182526e-07,2.5052485116724244e-07,2.093314138827499e-07,1.0409611536239918e-07,1.1485256236068438e-06,4.3248031938186343e-07,1.76962470129311e-07,1.1840994304965363e-07,6.713778259302231e-07,0.0002820596531542403,1.412047458833398e-07,3.2640753458719513e-07,2.029684192920239e-07,1.356482900894482e-07,1.8338341012802638e-07
2,2.627491473134168e-07,4.790581052575956e-07,4.009673182536178e-07,2.0278422094604954e-07,2.241534896575385e-06,8.112249392186507e-07,3.5148030809712686e-07,2.2728757707836631e-07,1.3015909929056075e-06,0.0005605190651365727,2.653071487357525e-07,6.348276484389842e-07,3.7962732849335997e-07,2.605023253402506e-07,3.4562911085258584e-07
3,4.196534176418677e-07,7.651665982984344e-07,6.37053678994767e-07,3.2792312305826013e-07,3.651650842052839e-06,1.275302890820744e-06,5.782119020158046e-07,3.664550280673273e-07,2.1027556608418263e-06,0.0009277688010517568,4.2218845414920554e-07,1.0284501241223695e-06,5.974962644261601e-07,4.2007629764025013e-07,5.474922956680948e-07
4,6.126076726476453e-07,1.1228903875183546e-06,9.189755024999538e-07,4.820801404439648e-07,5.455066045208948e-06,1.8469366548250063e-06,8.60887222665842e-07,5.372339809609304e-07,3.1292080768229396e-06,0.0013924514277176639,6.134459152512764e-07,1.524208724834895e-06,8.63164322211138e-07,6.198094404285398e-07,7.914536017659737e-07
5,8.435737502068724e-07,1.5533595242945186e-06,1.2473773989702801e-06,6.655335525559342e-07,7.687797994124194e-06,2.537191504304471e-06,1.2001515687410213e-06,7.401565194538021e-07,4.3997303536117745e-06,0.00195952819722974,8.396346074650972e-07,2.1228723728141212e-06,1.1756128698441005e-06,8.617042190466995e-07,1.0791993634272162e-06
6,1.108876285820863e-06,2.041020758141792e-06,1.6194505595949627e-06,8.752787178386401e-07,1.027878412471651e-05,3.3313503724995923e-06,1.5923713422762691e-06,9.713837858947049e-07,5.886817206479177e-06,0.0026144886848267356,1.0939171278305124e-06,2.805901661289144e-06,1.5235378917111653e-06,1.1367100826462211e-06,1.4066302315206643e-06
7,1.4019419550470327e-06,2.578380156520158e-06,2.0305265154550448e-06,1.1070538189111948e-06,1.3175365618209602e-05,4.1995790361538705e-06,2.033675012548866e-06,1.2292779391510685e-06,7.5509394018299e-06,0.0033556699000320987,1.3751334235095354e-06,3.562753635590306e-06,1.9007000294173343e-06,1.4417819349094506e-06,1.767641006348195e-06
8,1.7235716177661626e-06,3.172287110635595e-06,2.4807097816156884e-06,1.3614595659882081e-06,1.639549591864061e-05,5.1420887479152735e-06,2.5257734944715917e-06,1.5155299894311082e-06,9.392283679045795e-06,0.004185143878627163,1.6840151076063135e-06,4.401478045065638e-06,2.3148850788607514e-06,1.7799230280796927e-06,2.160452528681354e-06
9,2.0758712043040675e-06,3.827246695920558e-06,2.9742222679339023e-06,1.6402191173448614e-06,1.998160762823366e-05,6.175870430623427e-06,3.0692533710369577e-06,1.830790143202615e-06,1.1445481357967666e-05,0.0051100616058561985,2.0232661669155114e-06,5.328718249333281e-06,2.768892297916456e-06,2.1532460069537284e-06,2.588894384360839e-06
10,2.4590947298727113e-06,4.535171540416189e-06,3.5122751829378e-06,1.9423192174228187e-06,2.3943979304780394e-05,7.305955942057167e-06,3.663341401788555e-06,2.1724283995696444e-06,1.3712411778440698e-05,0.006130330063135313,2.3907690769493013e-06,6.338918296197627e-06,3.2590936200378247e-06,2.5583073153526597e-06,3.0537798749376137e-06
11,2.8717596845620653e-06,5.289965413462793e-06,4.090851225286939e-06,2.266674646173541e-06,2.8236178245608864e-05,8.51374688385884e-06,4.307033382724017e-06,2.539000282653077e-06,1.617212388937365e-05,0.007240509713419401,2.7865755742813164e-06,7.425298535712137e-06,3.7822784079534e-06,2.9941954751283e-06,3.551807338453729e-06
12,3.311147447879247e-06,6.087229245447398e-06,4.709075983603884e-06,2.6107773053113945e-06,3.28220369722227e-05,9.790191956155777e-06,4.998804005808009e-06,2.9293219814137668e-06,1.880615508297498e-05,0.008438614313596892,3.207819876990707e-06,8.578094381156128e-06,4.337511496568342e-06,3.459908795987922e-06,4.080355140794053e-06
13,3.778836892479654e-06,6.93048307638714e-06,5.363185287291019e-06,2.976383797716237e-06,3.772386677984261e-05,1.1133909119668044e-05,5.737189052481289e-06,3.342654381147599e-06,2.1611866079799397e-05,0.009728992505877502,3.652925472315196e-06,9.800996670739642e-06,4.921405506417886e-06,3.956345775705401e-06,4.6367988071889856e-06
14,4.274235993327925e-06,7.824715264322922e-06,6.052832702171491e-06,3.3637656591542467e-06,4.294885062473699e-05,1.2555125791591727e-05,6.520558235690487e-06,3.781364365275399e-06,2.4605689725053884e-05,0.011110589145268582,4.122377095461241e-06,1.1099743352084646e-05,5.537235189704083e-06,4.48333737464657e-06,5.221997329316915e-06
15,4.799103716807913e-06,8.774287721547953e-06,6.781417517755103e-06,3.7741695106324443e-06,4.852614714843271e-05,1.4064517856034097e-05,7.351786173426251e-06,4.247311944526867e-06,2.780485475837588e-05,0.01258257773612777,4.616730403596594e-06,1.2479630908553576e-05,6.1864095334349645e-06,5.04203031524338e-06,5.839216302343275e-06
16,5.3515948061061355e-06,9.776064611635879e-06,7.548729112547895e-06,4.206452246116035e-06,5.443164879644781e-05,1.565630005628406e-05,8.230637727453118e-06,4.73787498017604e-06,3.1196423621729164e-05,0.014142453634532932,5.138258052669768e-06,1.3930719902231087e-05,6.871975106253023e-06,5.63103914007212e-06,6.488665718226708e-06
17,5.930838191651469e-06,1.0828730099315196e-05,8.351690773699756e-06,4.6612047910581645e-06,6.063654450513347e-05,1.731956613039349e-05,9.154973952519218e-06,5.253558480713041e-06,3.47538514580764e-05,0.015787301019426908,5.687119407945058e-06,1.5450390174480323e-05,7.593576785369854e-06,6.249790476959795e-06,7.167620302332403e-06
